QB,RB,RB,WR,WR,WR,TE,FLEX,DST
7147252,7147344,7147354,7147538,7147684,7147544,7147783,7147728,7148606
7147252,7147344,7147354,7147538,7147684,7147616,7147783,7147544,7148606
7147252,7147344,7147354,7147508,7147538,7147616,7147803,7147728,7148606
7147252,7147344,7147354,7147508,7147538,7147684,7147783,7147544,7148606
7147258,7147344,7147354,7147538,7147616,7147544,7147783,7147728,7148624
7147252,7147291,7147344,7147538,7147684,7147616,7147803,7147728,7148624
7147258,7147291,7147344,7147538,7147684,7147616,7147803,7147728,7148606
7147252,7147344,7147354,7147538,7147684,7147544,7147783,7147728,7148624
7147252,7147344,7147354,7147538,7147684,7147616,7147783,7147544,7148624
7147258,7147344,7147354,7147538,7147684,7147544,7147783,7147728,7148606
7147258,7147344,7147354,7147538,7147684,7147616,7147783,7147544,7148606
7147252,7147344,7147354,7147538,7147684,7147616,7147803,7147728,7148606
7147265,7147344,7147354,7147538,7147616,7147544,7147783,7147728,7148624
7147252,7147386,7147344,7147538,7147684,7147616,7147803,7147728,7148606
7147252,7147291,7147354,7147538,7147684,7147616,7147803,7147728,7148606
7147265,7147291,7147344,7147538,7147684,7147616,7147803,7147728,7148606
7147265,7147344,7147354,7147538,7147684,7147544,7147783,7147728,7148606
7147252,7147354,7147345,7147538,7147616,7147544,7147783,7147728,7148606
7147265,7147344,7147354,7147538,7147684,7147616,7147783,7147544,7148606
7147252,7147386,7147354,7147538,7147684,7147544,7147783,7147728,7148606
7147252,7147280,7147354,7147538,7147684,7147544,7147803,7147728,7148606
7147252,7147344,7147354,7147508,7147538,7147616,7147803,7147728,7148624
7147265,7147291,7147354,7147538,7147684,7147544,7147783,7147728,7148606
7147252,7147280,7147354,7147538,7147684,7147616,7147803,7147544,7148606
7147258,7147344,7147354,7147508,7147538,7147616,7147803,7147728,7148606
7147252,7147291,7147354,7147508,7147538,7147616,7147803,7147728,7148624
7147265,7147280,7147354,7147538,7147616,7147544,7147803,7147728,7148606
7147258,7147291,7147354,7147508,7147538,7147616,7147803,7147728,7148606
7147252,7147344,7147354,7147734,7147538,7147616,7147783,7147728,7148606
7147265,7147354,7147345,7147538,7147684,7147544,7147803,7147728,7148606
7147252,7147291,7147344,7147508,7147538,7147616,7147783,7147728,7148606
7147265,7147354,7147345,7147538,7147684,7147616,7147803,7147544,7148606
7147252,7147344,7147354,7147508,7147538,7147684,7147783,7147544,7148624
7147252,7147344,7147354,7147538,7147684,7147732,7147803,7147728,7148624
7147258,7147344,7147354,7147508,7147538,7147684,7147783,7147544,7148606
7147252,7147344,7147354,7147508,7147538,7147684,7147803,7147728,7148606
7147258,7147344,7147354,7147538,7147684,7147732,7147803,7147728,7148606
7147265,7147344,7147354,7147508,7147538,7147544,7147783,7147728,7148624
7147252,7147344,7147354,7147508,7147538,7147684,7147803,7147616,7148606
7147252,7147344,7147345,7147508,7147538,7147616,7147803,7147728,7148606
7147252,7147386,7147344,7147508,7147538,7147684,7147803,7147728,7148606
7147265,7147344,7147354,7147508,7147538,7147616,7147783,7147544,7148624
7147265,7147344,7147354,7147734,7147538,7147684,7147803,7147728,7148606
7147258,7147291,7147344,7147538,7147684,7147616,7147803,7147728,7148624
7147252,7147291,7147354,7147508,7147538,7147684,7147803,7147728,7148606
7147265,7147291,7147344,7147508,7147538,7147684,7147803,7147728,7148606
7147252,7147291,7147354,7147508,7147538,7147684,7147803,7147616,7148606
7147265,7147291,7147344,7147508,7147538,7147684,7147803,7147616,7148606
7147265,7147344,7147354,7147508,7147538,7147616,7147803,7147728,7148606
7147252,7147344,7147354,7147538,7147732,7147616,7147783,7147728,7148606
